RaceNo,WPM,Accuracy,Points,Date,Rank,Racers
1,68,97.1,55,2019-06-16,3,5
2,80,98.1,76,2019-06-16,2,5
3,59,95.2,36,2019-06-16,4,5
4,63,97.0,62,2019-06-16,4,5
5,58,94.7,39,2019-06-16,4,5
6,63,95.0,33,2019-06-16,4,5
7,68,96.7,66,2019-06-16,1,4
8,77,97.8,39,2019-06-16,2,5
9,73,98.2,87,2019-06-16,2,4
10,63,95.2,41,2019-06-16,4,5
11,55,95.4,48,2019-06-16,2,5
12,71,95.7,58,2019-06-16,3,4
13,64,96.2,48,2019-06-16,2,5
14,59,94.4,47,2019-06-16,4,5
15,72,97.3,101,2019-06-16,1,3
16,63,95.7,106,2019-06-17,1,4
17,74,96.3,85,2019-06-17,1,5
18,61,95.8,72,2019-06-17,3,5
19,52,95.6,45,2019-06-17,2,3
20,69,97.4,118,2019-06-17,2,3
21,55,94.6,48,2019-06-17,1,5
22,79,97.6,34,2019-06-17,2,5
23,50,95.9,22,2019-06-17,5,5
24,59,95.5,30,2019-06-17,1,5
25,70,97.5,39,2019-06-18,2,5
26,78,98.0,57,2019-06-18,2,5
27,76,97.5,39,2019-06-18,1,5
28,79,98.1,64,2019-06-21,2,5
29,69,97.1,105,2019-06-21,3,5
30,72,97.1,60,2019-06-21,3,5
31,78,97.7,73,2019-06-21,4,5
32,65,95.6,84,2019-06-21,2,5
33,78,97.9,42,2019-06-21,2,5
34,67,96.5,29,2019-06-21,2,5
35,68,95.4,36,2019-06-22,1,3
36,67,96.0,65,2019-06-22,1,2
37,64,96.4,65,2019-06-23,4,4
38,69,97.0,61,2019-06-23,3,4
39,75,97.2,74,2019-06-23,1,5
40,64,95.3,57,2019-06-23,2,4
41,71,95.6,35,2019-06-23,1,4
42,76,95.8,53,2019-06-23,2,5
43,78,98.5,50,2019-06-26,1,4
44,78,97.8,116,2019-07-07,1,4
45,65,96.2,48,2019-07-07,3,5
46,76,96.0,42,2019-07-07,2,4
47,76,98.0,55,2019-07-07,3,4
48,72,97.1,68,2019-07-07,3,5
49,58,95.3,60,2019-07-07,1,3
50,93,98.6,51,2019-08-05,2,5
51,74,96.0,124,2019-08-05,2,5
52,70,95.6,100,2019-08-13,3,4
53,102,96.6,20,2019-08-13,1,4
54,52,92.9,24,2019-08-13,5,5
55,84,97.6,73,2019-08-13,1,4
56,88,96.1,79,2019-12-12,5,5
57,71,95.7,40,2019-12-12,1,4
58,82,95.5,145,2019-12-12,1,3
59,77,95.5,41,2019-12-12,1,5
60,88,98.3,92,2019-12-12,1,4
61,100,98.2,63,2019-12-12,1,5
62,83,97.3,58,2019-12-12,2,5
63,77,96.1,48,2019-12-12,1,4
64,86,97.8,55,2019-12-12,2,5
65,82,96.3,57,2019-12-12,4,5
66,86,97.0,81,2019-12-12,1,4
67,89,97.2,97,2019-12-12,2,4
68,82,96.2,73,2019-12-12,3,5
69,85,97.6,78,2019-12-12,1,3
70,80,96.2,50,2019-12-12,1,5
71,71,95.6,58,2019-12-12,5,5
72,71,95.8,56,2019-12-12,1,5
73,79,97.0,79,2019-12-12,1,4
74,74,97.0,50,2019-12-12,1,5
75,90,97.9,47,2019-12-12,1,5
76,74,95.2,56,2019-12-12,3,5
77,83,97.2,68,2019-12-12,1,5
78,82,97.3,52,2019-12-12,1,5
79,73,95.2,89,2019-12-12,3,5
80,80,96.4,67,2019-12-12,1,4
81,67,95.4,49,2019-12-12,2,5
82,73,95.3,46,2019-12-12,1,5
83,58,95.0,9,2019-12-12,4,4
84,92,96.8,132,2019-12-12,2,5
85,90,97.2,57,2019-12-12,1,5
86,91,97.5,50,2019-12-12,1,5
87,90,97.3,87,2019-12-12,1,4
88,100,97.8,53,2019-12-12,1,5
89,100,99.0,62,2019-12-12,2,5
90,75,95.7,76,2019-12-12,2,4
91,96,98.4,99,2019-12-12,2,5
92,57,95.4,43,2019-12-12,3,5
93,96,98.2,64,2019-12-12,2,5
94,89,97.2,123,2019-12-12,1,5
95,88,97.4,63,2019-12-12,1,4
96,94,97.4,58,2019-12-12,2,5
97,81,96.1,84,2019-12-12,2,3
98,84,97.9,70,2019-12-12,2,5
99,92,96.9,45,2019-12-12,2,5
100,66,95.5,56,2019-12-12,5,5
101,75,96.5,188,2019-12-12,2,3
102,104,99.2,36,2019-12-12,1,5
103,95,98.5,73,2019-12-12,4,5
104,67,95.5,71,2019-12-12,4,5
105,81,97.0,101,2019-12-12,4,5
106,84,97.3,50,2019-12-12,1,5
107,88,96.9,73,2019-12-12,2,5
108,64,94.4,74,2019-12-12,3,4
109,97,98.2,71,2019-12-12,1,4
110,76,96.6,74,2019-12-12,2,4
111,97,98.2,68,2019-12-12,1,5
112,91,97.0,43,2019-12-12,2,5
113,73,95.1,71,2019-12-12,1,5
114,75,96.8,82,2019-12-12,1,5
115,80,96.1,87,2019-12-12,2,4
116,87,98.1,61,2019-12-12,3,5
117,80,96.0,62,2019-12-12,5,5
118,88,97.8,63,2019-12-12,1,5
119,89,98.1,119,2019-12-12,3,5
120,93,98.3,65,2019-12-12,1,5
121,74,95.8,56,2019-12-12,2,5
122,82,96.4,103,2019-12-12,3,5
123,87,97.2,77,2019-12-12,1,5
124,101,97.3,44,2019-12-12,1,5
125,78,95.9,56,2019-12-12,5,5
126,74,95.9,77,2019-12-12,2,5
127,70,94.9,33,2019-12-12,2,5
128,90,99.0,49,2019-12-12,4,5
129,74,97.5,85,2019-12-12,4,5
130,87,97.3,75,2019-12-12,2,4
131,77,96.3,49,2019-12-12,4,5
132,86,96.0,46,2019-12-12,3,4
133,85,97.8,54,2019-12-12,4,5
134,80,97.5,69,2019-12-12,2,5
135,79,96.9,80,2019-12-12,4,4
136,80,97.2,77,2019-12-12,1,3
137,90,97.3,56,2019-12-12,1,5
138,82,96.8,125,2019-12-12,2,4
139,81,96.9,80,2019-12-12,3,4
140,78,96.5,40,2019-12-12,3,5
141,82,97.0,204,2019-12-12,1,5
142,80,97.1,63,2019-12-12,2,5
143,94,99.1,85,2019-12-12,3,5
144,90,96.8,53,2019-12-12,1,5
145,98,99.0,59,2019-12-12,1,5
146,81,96.4,118,2019-12-12,1,5
147,95,98.8,44,2019-12-12,3,5
148,80,96.2,59,2019-12-12,4,5
149,86,97.2,96,2019-12-12,2,4
150,90,97.3,158,2019-12-12,2,4
151,112,99.5,71,2019-12-12,1,5
152,76,96.1,38,2019-12-12,4,5
153,78,97.0,92,2019-12-12,2,5
154,86,97.1,83,2019-12-12,4,5
155,88,96.3,94,2019-12-12,2,5
156,89,97.2,83,2019-12-12,1,5
157,71,95.7,37,2019-12-13,3,5
158,94,98.8,63,2019-12-13,2,5
159,88,97.5,82,2019-12-13,2,4
160,89,96.9,169,2019-12-13,2,5
161,62,91.5,32,2019-12-13,5,5
162,75,96.3,61,2019-12-13,1,4
163,78,94.9,47,2019-12-13,3,3
164,80,97.0,104,2019-12-13,1,4
165,90,97.7,61,2019-12-13,2,5
166,75,95.5,96,2019-12-13,2,5
167,83,96.2,48,2019-12-13,4,5
168,80,97.0,37,2019-12-13,2,5
169,92,96.5,76,2019-12-13,1,4
170,77,94.5,31,2019-12-13,3,5
171,66,96.1,66,2019-12-13,4,4
172,76,96.0,89,2019-12-13,3,5
173,60,95.1,39,2019-12-13,4,5
174,83,96.2,92,2019-12-13,1,3
175,73,95.8,104,2019-12-13,2,5
176,86,98.2,59,2019-12-13,3,5
177,99,97.3,93,2019-12-13,1,5
178,78,97.0,80,2019-12-13,2,3
179,83,96.0,149,2019-12-13,4,5
180,83,96.2,78,2019-12-14,1,5
181,72,94.9,56,2019-12-14,3,5
182,65,94.2,45,2019-12-14,3,5
183,77,95.6,90,2019-12-14,3,5
184,94,98.0,109,2019-12-14,1,4
185,77,95.3,60,2019-12-14,1,5
186,88,96.8,102,2019-12-14,3,5
187,115,99.0,42,2019-12-14,2,5
188,83,95.5,72,2019-12-14,2,5
189,86,95.3,59,2019-12-14,2,5
190,74,93.9,38,2019-12-14,3,4
191,96,97.0,75,2019-12-14,2,5
192,83,96.4,71,2019-12-14,2,5
193,81,96.4,98,2019-12-14,4,5
194,91,96.9,106,2019-12-14,1,4
195,88,97.2,51,2019-12-14,4,5
196,81,94.4,72,2019-12-14,1,3
197,69,97.0,29,2019-12-14,4,5
198,78,95.2,65,2019-12-14,2,5
199,93,97.7,96,2019-12-14,2,5
200,64,94.8,50,2019-12-14,2,4
201,82,95.6,93,2019-12-14,5,5
202,75,95.5,66,2019-12-14,2,5
203,86,95.3,73,2019-12-14,1,5
204,77,95.4,163,2019-12-14,4,4
205,76,95.3,58,2019-12-14,1,4
206,93,97.1,70,2019-12-14,1,5
207,90,96.7,108,2019-12-14,1,2
208,87,97.1,60,2019-12-14,3,5
209,86,97.2,50,2019-12-14,2,4
210,77,95.8,136,2019-12-14,1,3
211,63,95.2,34,2019-12-14,1,5
212,89,97.5,96,2019-12-14,1,2
213,83,97.7,76,2019-12-14,2,5
214,92,97.1,86,2019-12-14,3,5
215,82,98.4,27,2019-12-14,1,4
216,96,97.6,94,2019-12-14,4,4
217,79,97.5,49,2019-12-14,2,4
218,88,97.1,102,2019-12-14,1,4
219,93,97.2,56,2019-12-14,1,5
220,79,96.6,47,2019-12-14,2,2
221,83,96.5,103,2019-12-14,2,5
222,74,95.9,36,2019-12-14,4,5
223,76,95.2,44,2019-12-14,3,5
224,91,97.6,50,2019-12-14,1,5
225,80,96.5,77,2019-12-14,1,5
226,76,95.2,48,2019-12-14,1,4
227,68,95.6,98,2019-12-14,3,4
228,68,96.4,50,2019-12-14,5,5
229,84,97.7,134,2019-12-14,3,5
230,81,96.0,58,2019-12-14,1,5
231,88,96.1,126,2019-12-14,2,5
232,75,94.6,77,2019-12-14,3,4
233,101,98.6,46,2019-12-14,3,5
234,64,95.7,74,2019-12-14,1,4
235,77,96.2,68,2019-12-14,2,5
236,63,95.1,58,2019-12-14,4,5
237,94,98.2,62,2019-12-14,1,3
238,103,97.9,74,2019-12-14,1,5
239,96,97.3,80,2019-12-14,1,5
240,82,96.1,87,2019-12-14,3,4
241,77,97.4,49,2019-12-14,2,5
242,79,96.3,67,2019-12-14,2,4
243,100,97.6,57,2019-12-14,1,2
244,92,97.1,64,2019-12-14,1,4
245,77,95.7,37,2019-12-14,2,5
246,77,94.5,36,2019-12-14,3,3
247,89,97.4,71,2019-12-14,3,4
248,76,96.3,78,2019-12-14,3,5
249,95,96.7,106,2019-12-14,3,5
250,82,97.0,96,2019-12-14,1,5
251,74,94.3,61,2019-12-14,3,5
252,84,97.7,58,2019-12-14,3,4
253,67,94.4,54,2019-12-14,4,5
254,81,96.4,71,2019-12-14,2,3
255,65,94.9,42,2019-12-14,2,3
256,79,95.9,47,2019-12-14,4,5
257,79,96.6,91,2019-12-14,2,5
258,72,94.4,38,2019-12-14,2,4
259,79,96.0,137,2019-12-14,1,4
260,80,95.0,109,2019-12-14,2,4
261,87,97.5,51,2019-12-14,1,5
262,89,97.5,64,2019-12-14,1,5
263,87,97.1,150,2019-12-14,2,5
264,74,96.6,43,2019-12-14,2,5
265,73,96.9,68,2019-12-14,4,5
266,87,96.6,69,2019-12-14,2,4
267,73,96.2,59,2019-12-14,3,5
268,81,95.6,51,2019-12-14,2,5
269,74,97.6,63,2019-12-14,3,5
270,88,97.4,49,2019-12-14,1,4
271,73,97.1,115,2019-12-14,3,4
272,99,97.4,48,2019-12-14,2,5
273,79,95.8,101,2019-12-14,1,4
274,71,95.7,64,2019-12-14,3,5
275,85,96.3,70,2019-12-14,2,4
276,92,97.8,93,2019-12-14,2,2
277,78,97.1,111,2019-12-14,3,4
278,85,96.3,64,2019-12-14,1,5
279,95,97.7,74,2019-12-14,1,5
280,96,98.4,92,2019-12-14,3,5
281,88,97.1,56,2019-12-14,2,5
282,93,97.3,64,2019-12-14,1,4
283,85,95.8,67,2019-12-14,2,4
284,75,97.3,44,2019-12-14,2,4
285,80,95.7,60,2019-12-14,2,3
286,92,97.9,67,2019-12-14,3,5
287,92,97.4,66,2019-12-14,1,5
288,92,97.8,72,2019-12-14,1,4
289,83,96.6,49,2019-12-14,3,3
290,74,94.3,53,2019-12-14,2,4
291,72,96.5,57,2019-12-14,5,5
292,87,97.4,72,2019-12-14,3,5
293,106,98.5,71,2019-12-14,1,5
294,86,97.2,76,2019-12-14,5,5
295,87,96.5,58,2019-12-14,2,5
296,76,96.3,152,2019-12-14,4,4
297,87,96.7,56,2019-12-14,1,5
298,81,97.0,114,2019-12-14,2,5
299,80,96.3,122,2019-12-14,2,5
300,82,97.2,63,2019-12-14,2,5
301,84,98.2,66,2019-12-14,2,5
302,99,98.5,35,2019-12-14,1,4
303,83,96.9,69,2019-12-14,3,3
304,83,96.9,77,2019-12-14,2,5
305,72,94.4,60,2019-12-14,4,5
306,91,97.5,71,2019-12-14,3,5
307,75,96.7,51,2019-12-14,5,5
308,87,98.6,36,2019-12-14,1,5
309,93,97.4,118,2019-12-14,2,4
310,86,98.4,43,2019-12-14,1,5
311,75,96.6,73,2019-12-15,4,5
312,80,95.7,76,2019-12-15,2,4
313,88,96.5,107,2019-12-15,1,4
314,81,96.1,105,2019-12-15,4,5
315,87,97.2,71,2019-12-15,2,5
316,76,95.7,47,2019-12-15,1,5
317,85,96.9,99,2019-12-15,2,5
318,85,96.5,78,2019-12-15,1,5
319,67,94.7,32,2019-12-15,4,4
320,69,95.6,49,2019-12-15,2,3
321,83,96.5,119,2019-12-15,4,5
322,98,98.7,51,2019-12-15,1,5
323,93,97.3,73,2019-12-15,3,5
324,83,96.8,62,2019-12-15,4,5
325,83,96.4,78,2019-12-15,1,5
326,84,96.8,63,2019-12-15,1,5
327,63,93.7,38,2019-12-15,5,5
328,81,97.0,69,2019-12-15,3,4
329,73,94.2,55,2019-12-15,2,5
330,84,97.4,91,2019-12-15,2,5
331,83,96.6,71,2019-12-15,1,3
332,81,96.2,89,2019-12-15,1,4
333,88,97.6,108,2019-12-15,3,5
334,88,97.4,129,2019-12-15,1,5
335,92,97.2,60,2019-12-15,1,5
336,71,94.2,52,2019-12-15,4,5
337,91,97.4,56,2019-12-15,1,3
338,78,95.1,86,2019-12-15,4,5
339,67,94.8,58,2019-12-15,3,5
340,82,95.8,60,2019-12-15,3,5
341,91,97.6,76,2019-12-15,1,5
342,90,96.4,79,2019-12-15,1,5
343,90,96.5,72,2019-12-15,3,5
344,81,96.1,93,2019-12-15,1,5
345,77,97.2,52,2019-12-15,1,2
346,86,96.4,52,2019-12-15,2,2
347,75,95.4,45,2019-12-15,3,3
348,80,96.3,115,2019-12-15,1,5
349,79,96.2,91,2019-12-15,3,4
350,88,96.4,46,2019-12-15,1,5
351,82,95.7,69,2019-12-15,2,4
352,78,95.4,120,2019-12-15,2,5
353,80,95.2,102,2019-12-15,2,5
354,99,96.3,78,2019-12-15,1,5
355,90,96.2,68,2019-12-15,1,5
356,75,96.3,59,2019-12-15,3,5
357,88,98.2,107,2019-12-15,1,5
358,95,98.1,82,2019-12-15,3,5
359,85,96.2,58,2019-12-15,1,3
360,90,97.3,68,2019-12-15,2,5
361,84,97.0,60,2019-12-15,3,5
362,77,94.5,94,2019-12-15,3,4
363,85,96.0,71,2019-12-15,3,5
364,89,96.0,92,2019-12-15,3,5
365,94,98.8,70,2019-12-15,2,5
366,76,96.3,38,2019-12-15,3,4
367,79,96.0,71,2019-12-15,1,5
368,85,96.0,75,2019-12-15,2,5
369,87,95.7,75,2019-12-15,3,5
370,82,97.0,40,2019-12-15,3,5
371,88,97.9,73,2019-12-15,1,5
372,76,94.6,53,2019-12-15,2,2
373,67,93.9,45,2019-12-15,4,5
374,73,95.5,50,2019-12-15,1,5
375,68,96.7,52,2019-12-15,3,5
376,84,97.6,89,2019-12-15,2,5
377,87,97.0,42,2019-12-15,1,5
378,84,95.6,63,2019-12-15,4,5
379,75,96.2,59,2019-12-15,2,4
380,83,95.0,50,2019-12-15,1,5
381,92,98.0,40,2019-12-15,1,5
382,82,94.9,53,2019-12-15,3,5
383,76,95.5,63,2019-12-15,3,5
384,79,94.9,48,2019-12-15,1,5
385,82,96.6,83,2019-12-15,2,3
386,86,97.0,124,2019-12-15,1,5
387,86,97.1,99,2019-12-15,1,4
388,87,96.4,64,2019-12-15,2,4
389,85,97.0,78,2019-12-15,1,5
390,86,96.8,82,2019-12-15,1,5
391,89,96.8,83,2019-12-15,3,5
392,81,95.9,51,2019-12-15,2,5
393,79,96.1,71,2019-12-15,3,5
394,76,95.5,82,2019-12-15,1,5
395,90,96.8,129,2019-12-15,1,5
396,79,96.0,65,2019-12-15,3,5
397,79,96.3,62,2019-12-15,4,5
398,87,96.7,103,2019-12-15,2,5
399,79,96.5,76,2019-12-15,3,5
400,76,95.5,50,2019-12-15,2,5
401,76,96.0,63,2019-12-15,2,5
402,75,96.0,82,2019-12-15,3,5
403,83,97.0,54,2019-12-15,2,5
404,80,96.8,60,2019-12-15,1,5
405,76,95.1,68,2019-12-16,3,5
406,97,99.1,35,2019-12-16,1,5
407,84,95.7,64,2019-12-16,3,5
408,79,96.0,112,2019-12-16,3,4
409,77,95.7,58,2019-12-16,4,5
410,72,95.6,75,2019-12-16,4,5
411,90,97.0,61,2019-12-16,2,5
412,87,95.4,58,2019-12-16,3,5
413,105,99.2,46,2019-12-16,3,5
414,103,98.5,88,2019-12-16,3,5
415,91,96.9,61,2019-12-16,3,5
416,92,96.5,74,2019-12-16,2,5
417,86,96.2,73,2019-12-16,5,5
418,71,95.7,50,2019-12-16,4,5
419,84,97.3,71,2019-12-16,3,4
420,88,96.0,84,2019-12-16,1,5
421,75,95.3,85,2019-12-16,2,5
422,97,97.6,50,2019-12-16,1,5
423,92,97.0,81,2019-12-16,2,5
424,58,93.2,46,2019-12-16,3,5
425,85,95.5,54,2019-12-16,3,5
426,92,98.1,90,2019-12-16,2,3
427,90,97.4,71,2019-12-16,1,5
428,96,97.3,67,2019-12-16,1,4
429,84,95.9,52,2019-12-16,1,5
430,95,98.1,57,2019-12-16,1,5
431,79,96.1,137,2019-12-16,3,3
432,87,96.0,81,2019-12-16,2,5
433,86,97.4,85,2019-12-16,3,4
434,87,96.8,102,2019-12-16,4,5
435,86,95.3,69,2019-12-16,2,5
436,96,97.8,93,2019-12-16,1,3
437,86,96.4,34,2019-12-16,1,4
438,70,95.0,41,2019-12-16,3,5
439,88,96.6,77,2019-12-16,2,5
440,94,97.2,61,2019-12-16,1,5
441,68,94.4,62,2019-12-16,5,5
442,85,95.3,71,2019-12-16,1,3
443,89,96.9,70,2019-12-16,3,5
444,78,95.9,96,2019-12-16,2,4
445,91,97.0,66,2019-12-16,1,5
446,86,96.6,99,2019-12-16,1,4
447,80,95.8,51,2019-12-16,2,5
448,88,96.9,120,2019-12-16,1,5
449,80,96.0,99,2019-12-16,3,4
450,79,94.9,59,2019-12-16,2,5
451,82,96.5,135,2019-12-16,3,5
452,84,96.7,118,2019-12-16,1,5
453,72,94.6,59,2019-12-16,3,5
454,88,97.0,73,2019-12-16,2,3
455,94,97.9,86,2019-12-16,1,5
456,84,95.7,56,2019-12-16,2,4
457,91,97.5,52,2019-12-16,3,5
458,97,97.0,55,2019-12-16,1,4
459,81,96.2,63,2019-12-16,3,4
460,94,96.7,60,2019-12-16,2,5
461,73,94.9,83,2019-12-16,3,3
462,91,96.9,74,2019-12-16,1,5
463,80,97.1,80,2019-12-16,4,5
464,86,96.2,98,2019-12-16,2,3
465,81,95.4,58,2019-12-16,2,4
466,77,95.6,126,2019-12-16,2,4
467,72,94.2,43,2019-12-16,2,2
468,94,96.8,64,2019-12-16,1,4
469,95,97.4,79,2019-12-16,2,5
470,102,98.3,73,2019-12-16,1,3
471,81,96.0,78,2019-12-16,3,5
472,76,95.1,53,2019-12-16,2,5
473,96,98.1,69,2019-12-16,2,5
474,98,97.5,46,2019-12-16,1,5
475,75,94.8,56,2019-12-16,3,5
476,70,96.4,35,2019-12-16,5,5
477,75,95.3,43,2019-12-16,2,5
478,81,98.0,56,2019-12-16,1,5
479,88,97.4,88,2019-12-16,2,5
480,73,95.6,63,2019-12-16,3,5
481,92,97.5,48,2019-12-16,1,5
482,68,94.9,34,2019-12-16,4,5
483,85,96.5,125,2019-12-16,1,5
484,96,98.1,95,2019-12-16,2,5
485,83,95.2,40,2019-12-16,2,5
486,95,97.4,116,2019-12-16,1,5
487,81,95.9,55,2019-12-16,3,5
488,73,95.4,29,2019-12-16,5,5
489,88,96.8,113,2019-12-16,2,5
490,75,95.2,80,2019-12-16,2,5
491,74,94.6,46,2019-12-16,2,5
492,84,97.2,62,2019-12-16,3,5
493,86,96.9,120,2019-12-16,2,4
494,72,95.0,56,2019-12-16,5,5
495,64,94.8,42,2019-12-16,5,5
496,74,95.4,77,2019-12-16,3,4
497,86,97.5,55,2019-12-16,3,5
498,66,95.1,46,2019-12-16,1,5
499,83,96.2,83,2019-12-16,4,5
500,74,95.2,69,2019-12-16,3,5
501,74,95.1,81,2019-12-16,4,5
502,97,97.2,72,2019-12-16,2,5
503,81,96.1,70,2019-12-16,3,5
504,89,97.5,59,2019-12-17,3,5
505,86,96.7,77,2019-12-17,4,5
506,80,97.1,102,2019-12-17,1,5
507,86,97.2,107,2019-12-17,1,5
508,86,96.3,56,2019-12-17,1,5
509,90,96.7,115,2019-12-17,1,5
510,81,96.6,108,2019-12-17,3,4
511,90,96.5,165,2019-12-17,1,5
512,89,97.3,82,2019-12-17,3,5
513,82,95.8,54,2019-12-17,5,5
514,79,96.0,115,2019-12-17,3,4
515,90,96.6,77,2019-12-17,2,5
516,90,96.4,66,2019-12-17,3,5
517,122,100.0,18,2019-12-17,2,5
518,75,94.6,44,2019-12-17,3,4
519,84,96.0,92,2019-12-17,2,4
520,84,94.5,43,2019-12-17,4,5
521,88,97.0,129,2019-12-17,3,4
522,87,96.3,65,2019-12-17,2,4
523,86,96.4,91,2019-12-17,2,4
524,79,95.2,91,2019-12-17,3,5
525,80,96.3,154,2019-12-17,2,5
526,79,95.3,70,2019-12-17,2,5
527,81,95.5,91,2019-12-17,4,5
528,68,93.1,28,2019-12-17,3,4
529,86,96.3,84,2019-12-17,1,5
530,58,93.6,42,2019-12-17,5,5
531,77,96.1,98,2019-12-17,4,4
532,98,98.0,43,2019-12-17,3,5
533,61,94.9,78,2019-12-17,2,5
534,80,96.1,111,2019-12-17,2,5
535,68,94.8,55,2019-12-17,3,5
536,82,95.6,43,2019-12-17,1,5
537,81,97.0,50,2019-12-17,1,5
538,80,96.5,72,2019-12-17,5,5
539,76,95.8,48,2019-12-17,3,5
540,84,95.7,61,2019-12-17,2,5
541,80,95.5,48,2019-12-17,3,5
542,77,94.5,81,2019-12-17,2,5
543,86,96.9,63,2019-12-17,1,5
544,69,95.2,30,2019-12-17,3,5
545,75,95.3,73,2019-12-17,1,5
546,102,98.9,51,2019-12-17,1,5
547,84,97.5,54,2019-12-17,1,5
548,86,95.9,75,2019-12-17,2,5
549,77,95.0,47,2019-12-17,1,5
550,88,96.3,66,2019-12-17,3,5
551,66,95.8,44,2019-12-17,2,3
552,73,94.7,90,2019-12-17,2,5
553,75,95.6,120,2019-12-17,5,5
554,77,95.5,64,2019-12-17,2,5
555,71,95.9,81,2019-12-17,4,4
556,91,98.4,73,2019-12-17,1,5
557,71,95.5,50,2019-12-17,2,2
558,77,96.6,52,2019-12-17,1,4
559,67,95.0,59,2019-12-17,2,5
560,69,95.7,71,2019-12-17,4,5
561,91,96.9,60,2019-12-17,1,5
562,82,97.0,91,2019-12-17,1,4
563,74,94.9,46,2019-12-17,3,5
564,85,97.8,110,2019-12-17,4,5
565,88,96.4,65,2019-12-17,1,4
566,76,93.8,48,2019-12-17,2,5
567,81,96.5,80,2019-12-17,3,4
568,79,97.1,69,2019-12-17,3,5
569,86,96.2,89,2019-12-17,1,5
570,83,97.1,87,2019-12-17,1,3
571,97,96.8,57,2019-12-17,2,5
572,86,96.3,37,2019-12-17,2,5
573,90,97.5,56,2019-12-17,2,5
574,74,95.4,54,2019-12-17,4,4
575,72,95.6,74,2019-12-17,2,3
576,89,96.8,71,2019-12-17,2,5
577,81,96.9,54,2019-12-17,4,4
578,81,95.4,86,2019-12-17,1,5
579,69,95.7,30,2019-12-17,4,5
580,72,95.8,42,2019-12-17,3,5
581,68,95.8,43,2019-12-17,3,5
582,83,96.3,69,2019-12-17,1,5
583,84,96.6,59,2019-12-17,2,4
584,96,98.4,82,2019-12-17,1,4
585,82,95.3,39,2019-12-17,3,5
586,102,98.9,55,2019-12-17,1,4
587,71,94.5,47,2019-12-17,1,5
588,85,96.8,63,2019-12-17,1,5
589,75,96.5,69,2019-12-17,1,5
590,86,96.8,107,2019-12-17,2,4
591,77,96.2,60,2019-12-17,4,4
592,84,97.0,96,2019-12-17,1,3
593,79,95.6,88,2019-12-17,4,4
594,82,96.3,88,2019-12-17,3,4
595,80,96.4,56,2019-12-17,3,5
596,77,96.3,32,2019-12-17,1,5
597,80,96.8,41,2019-12-17,3,5
598,90,96.9,60,2019-12-17,1,5
599,73,93.4,58,2019-12-18,5,5
600,75,94.9,82,2019-12-18,5,5
601,81,96.2,111,2019-12-18,2,4
602,93,95.9,46,2019-12-18,1,5
603,74,95.9,76,2019-12-18,2,5
604,66,93.9,54,2019-12-18,3,4
605,85,97.2,90,2019-12-18,3,5
606,85,96.9,99,2019-12-18,4,5
607,81,95.8,134,2019-12-18,2,5
608,77,94.8,60,2019-12-18,3,5
609,49,93.1,26,2019-12-18,3,3
610,71,94.6,48,2019-12-18,2,5
611,96,97.8,103,2019-12-18,3,5
612,85,96.2,113,2019-12-18,2,5
613,90,97.8,102,2019-12-18,1,5
614,86,96.6,43,2019-12-18,1,5
615,81,95.5,49,2019-12-18,4,5
616,85,97.6,80,2019-12-18,1,5
617,86,96.3,77,2019-12-18,3,5
618,85,96.9,64,2019-12-18,1,4
619,81,95.9,68,2019-12-18,2,5
620,84,95.9,84,2019-12-18,1,5
621,82,95.4,72,2019-12-18,1,4
622,97,97.7,82,2019-12-18,1,3
623,82,96.4,96,2019-12-18,1,5
624,81,95.4,77,2019-12-18,4,4
625,76,95.8,61,2019-12-18,4,5
626,87,98.0,70,2019-12-18,2,5
627,60,94.0,42,2019-12-18,4,5
628,79,95.7,48,2019-12-18,4,4
629,85,97.7,43,2019-12-18,1,5
630,82,96.2,106,2019-12-18,1,4
631,75,94.2,61,2019-12-18,2,5
632,78,96.7,81,2019-12-18,2,4
633,83,96.1,69,2019-12-18,2,5
634,64,95.5,33,2019-12-18,4,4
635,86,96.7,108,2019-12-18,1,4
636,87,96.5,72,2019-12-18,3,5
637,91,97.8,64,2019-12-18,1,5
638,84,96.5,70,2019-12-18,1,4
639,72,95.5,50,2019-12-18,5,5
640,84,95.9,70,2019-12-18,1,5
641,73,94.6,79,2019-12-18,3,5
642,84,94.9,45,2019-12-18,3,5
643,91,97.5,87,2019-12-18,2,5
644,89,95.3,72,2019-12-18,2,5
645,84,96.7,76,2019-12-18,3,5
646,81,96.1,42,2019-12-18,3,5
647,69,94.6,70,2019-12-18,4,5
648,75,95.1,41,2019-12-18,1,4
649,68,96.0,43,2019-12-18,4,4
650,85,96.0,66,2019-12-18,1,5
651,92,97.3,58,2019-12-18,1,5
652,80,96.1,78,2019-12-18,3,4
653,79,95.1,88,2019-12-18,3,4
654,76,95.4,42,2019-12-18,1,3
655,76,96.2,67,2019-12-18,2,5
656,90,97.2,110,2019-12-18,2,5
657,76,95.7,81,2019-12-18,3,4
658,76,94.6,77,2019-12-18,5,5
659,76,96.4,52,2019-12-18,3,5
660,77,96.2,83,2019-12-19,3,5
661,74,94.5,48,2019-12-19,2,5
662,89,96.2,46,2019-12-19,2,5
663,71,95.5,107,2019-12-19,4,5
664,88,97.0,120,2019-12-19,3,5
665,93,96.1,85,2019-12-19,2,5
